seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,model_parallelism,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity,triviaqa_longbench_score
42,lmsys/longchat-7b-v1.5-32k,"['arc_easy', 'hellaswag']",False,llama,qk,128,4,wikitext,0.5,False,True,['triviaqa'],eval,,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,512,fixed_10pc,snapkvmatch,AllContextual_ICML,2000,,512,512,1,32,4,16,4,MSE,True,True,LongChat_snapkv.csv,LongChat_snapkv,True,False,0.09687500000000004,0.0,0,0.0
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,model_parallelism,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity,triviaqa_longbench_score
42,lmsys/longchat-7b-v1.5-32k,"['arc_easy', 'hellaswag']",False,llama,qk,128,4,wikitext,0.5,False,True,['triviaqa'],eval,,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,512,fixed_10pc,snapkvmatch,AllContextual_ICML,2000,,512,512,1,32,4,16,4,MSE,True,True,LongChat_snapkv.csv,LongChat_snapkv,True,False,0.09687500000000004,0.0,0,0.0
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,model_parallelism,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity,triviaqa_longbench_score
42,lmsys/longchat-7b-v1.5-32k,"['arc_easy', 'hellaswag']",False,llama,qk,128,4,wikitext,0.5,False,True,['triviaqa'],eval,,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,512,fixed_10pc,snapkvmatch,AllContextual_ICML,2000,,512,512,1,32,4,16,4,MSE,True,True,LongChat_snapkv.csv,LongChat_snapkv,True,False,0.09687500000000004,0.0,0,0.0
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,model_parallelism,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity,triviaqa_longbench_score
42,lmsys/longchat-7b-v1.5-32k,"['arc_easy', 'hellaswag']",False,llama,qk,128,4,wikitext,0.5,False,True,['triviaqa'],eval,,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,512,fixed_10pc,snapkv,AllContextual_ICML,2000,,512,512,1,32,4,16,4,MSE,True,True,LongChat_snapkv.csv,LongChat_snapkv,True,False,0.09687500000000004,51.10424589365721,0,76.83
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,model_parallelism,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity,triviaqa_longbench_score
42,lmsys/longchat-7b-v1.5-32k,"['arc_easy', 'hellaswag']",False,llama,qk,128,4,wikitext,0.5,False,True,['triviaqa'],eval,,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,16,,False,1000,20,512,fixed_10pc,snapkvmatch,AllContextual_ICML,2000,,512,512,1,32,4,16,4,MSE,True,True,LongChat_snapkv.csv,LongChat_snapkv,True,False,0.09687500000000004,0.0,0,0.0
