seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity
42,meta-llama/Llama-2-7b-hf,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,llama,qk,128,4,c4_realnewslike,0.5,False,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_meta-llama_Llama-2-7b-hf_False_llama_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_1_False_False_True_False_4_8_2/0.001_32_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_2048_1024_1_32_4_16_4_MSE_False_False_L2_7B_2k.csv_L2_7B_2k_True_0.3875000000000002_20250111-043324.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,32,,False,1000,20,1024,fixed_10pc,lookahead_oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,4,4,MSE,True,False,L2_7B_2k_ABL_lookahead.csv,L2_7B_2k_ABL_lookahead,True,0.09687500000000004,9.411111567169428,6.481991291046143
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity
42,meta-llama/Llama-2-7b-hf,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,llama,qk,128,4,c4_realnewslike,0.5,False,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_meta-llama_Llama-2-7b-hf_False_llama_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_1_False_False_True_False_4_8_2/0.001_32_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_2048_1024_1_32_4_16_4_MSE_False_False_L2_7B_2k.csv_L2_7B_2k_True_0.3875000000000002_20250111-043324.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,32,,False,1000,20,1024,fixed_20pc,lookahead_oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,4,4,MSE,True,False,L2_7B_2k_ABL_lookahead.csv,L2_7B_2k_ABL_lookahead,True,0.1937500000000001,19.100856129080057,6.754373550415039
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity
42,meta-llama/Llama-2-7b-hf,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,llama,qk,128,4,c4_realnewslike,0.5,False,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_meta-llama_Llama-2-7b-hf_False_llama_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_1_False_False_True_False_4_8_2/0.001_32_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_2048_1024_1_32_4_16_4_MSE_False_False_L2_7B_2k.csv_L2_7B_2k_True_0.3875000000000002_20250111-043324.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,32,,False,1000,20,1024,fixed_30pc,lookahead_oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,4,4,MSE,True,False,L2_7B_2k_ABL_lookahead.csv,L2_7B_2k_ABL_lookahead,True,0.290625,28.711598925292492,7.086763858795166
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity
42,meta-llama/Llama-2-7b-hf,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,llama,qk,128,4,c4_realnewslike,0.5,False,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_meta-llama_Llama-2-7b-hf_False_llama_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_1_False_False_True_False_4_8_2/0.001_32_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_2048_1024_1_32_4_16_4_MSE_False_False_L2_7B_2k.csv_L2_7B_2k_True_0.3875000000000002_20250111-043324.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,32,,False,1000,20,1024,fixed_40pc,lookahead_oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,4,4,MSE,True,False,L2_7B_2k_ABL_lookahead.csv,L2_7B_2k_ABL_lookahead,True,0.3875000000000002,38.320730812847614,7.5042500495910645
seed,model_path,task_list,offloading,architecture,channel,heavy_const,q_bits,finetune_dataset,head_sparsity_aggression,do_downstream_eval,do_longbench_eval,longbench_datasets,model_mode,model_load_path,model_resume_path,save_interval,calibrate_thresholds,randomize_init,test_with_thresholds,gfac,immediate_train,ssmize_predictor,flash_attn,train_headpredictor,min_sparse_index,attn_reduce_factor,head_attn_reduce_factor,pred_lr,dDash,skip_outlier,no_pred_causal_mask,evalgap,max_norm,intdim,token_sparse_method,eval_llm_mode,proj_name,eval_subset,train_subset_fac,rpj_train_seqlen,eval_wk2_seqlen,grad_accum_steps,producer_frequency,group_factor,num_tok_per_page,stream_llm_start_size,lfunc,no_wandb,no_wikitext_eval,result_file,wname,do_wikitext_eval,net_sparsity,true_token_sparsity,perplexity
42,meta-llama/Llama-2-7b-hf,"['winogrande', 'hellaswag', 'piqa', 'arc_easy']",False,llama,qk,128,4,c4_realnewslike,0.5,False,False,"['triviaqa', 'qasper', 'trec', 'samsum', 'lcc', 'repobench-p', 'qmsum', 'multi_news']",eval,/home/ya255/projects/all_contextual/expt_model/42_meta-llama_Llama-2-7b-hf_False_llama_qk_128_4_c4_realnewslike_0.5_True_False_finetune_None_None_5000_False_False_1_False_False_True_False_4_8_2/0.001_32_None_False_1000_20_1024_fixed_40pc_ExpPred_AllContextual_Jan9_1000_4_2048_1024_1_32_4_16_4_MSE_False_False_L2_7B_2k.csv_L2_7B_2k_True_0.3875000000000002_20250111-043324.pt,,5000,False,False,False,1,False,False,False,False,4,8,2,0.001,32,,False,1000,20,1024,fixed_50pc,lookahead_oracle,AllContextual_ICML,2500,4,1024,1024,1,32,4,4,4,MSE,True,False,L2_7B_2k_ABL_lookahead.csv,L2_7B_2k_ABL_lookahead,True,0.484375,48.0460200458765,8.063333511352539
